urlImagem,imageAntes,imageDepois,urlTema
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img25.jpg,197818,170197,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img26.jpg,187995,147012,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img27.jpg,374181,274114,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/graf1.jpg,44414,41042,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/graf2.jpg,45850,41416,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/graf3.jpg,37361,33461,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/graf4.jpg,38224,34115,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/esquema1.jpg,32911,27871,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/esquema2.jpg,68159,36778,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/esquema3.jpg,29026,23111,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/diag2.jpg,141537,113755,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/zero1.jpg,32924,14832,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/zero2.jpg,30045,13784,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/zero3.jpg,30244,13521,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/diag3.png,41490,23319,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img28.jpg,65874,54449,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/diag4.jpg,101120,79903,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img29.jpg,70678,53058,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img30.jpg,57226,46660,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/ft_base.jpg,44700,26268,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/bg_header.jpg,406892,100399,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo.jpg,215706,88491,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo.jpg,215706,88491,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo.jpg,215706,88491,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo.jpg,215706,88491,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo.jpg,215706,88491,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/header/capa_modulo_mobile.jpg,35615,21459,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/01335/img/header/logo_tema.png,25939,12448,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1314017660.jpg,46063,37028,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1604035747.jpg,75023,75493,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/280339562.png,38037,19259,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1670241712.jpg,27377,21540,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/714817420.jpg,30916,24544,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/44290348.jpg,39388,33195,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/338648696.png,35084,13032,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1629124030.jpg,77666,71054,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/288034928.png,24040,11366,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/266910011.jpg,68349,49853,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1149710126.jpg,31633,25318,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/463990118.png,76638,82902,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1812354109.jpg,66119,60298,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1825838846.jpg,69960,57824,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/794937412.jpg,63481,64354,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1703704024.jpg,32386,20409,https://stecine.azureedge.net/repositorio/01335/index.html
https://stecine.azureedge.net/repositorio/01335/img/1861479253.jpg,60740,47975,https://stecine.azureedge.net/repositorio/01335/index.html
